央视,#genre#
cctv1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226706/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8?icpid=88888888&servicetype=2&npt=#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226569/index.m3u8?icpid=88888888&servicetype=3&playseek=
cctv3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226614/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226656/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv5,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226635/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv6,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226637/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv7,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv8,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv9,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv10,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=3&playseek=#ttp://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv11,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv12,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=2&npt=
cctv13,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=2&npt=
梨园频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226438/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/index.m3u8?icpid=88888888&servicetype=2&npt=

移动戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=2&npt=
晴彩中原,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226445/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8?icpid=88888888&servicetype=2&npt=
移动戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=2&npt=
移动戏曲,video://http://m.haoqu99.com/3/henan/ydxq.html
郸城新闻,http://tvpull.dxhmt.cn:9081/tv/11625-1.m3u8
郸城新闻,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
北京卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=2&npt=
东南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=2&npt=
东方卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=2&npt=
江苏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=2&npt=
电视剧频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226521/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226521/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226521/index.m3u8?icpid=88888888&servicetype=2&npt=
浙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=2&npt=
欢笑剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226704/index.m3u8?icpid=88888888&servicetype=1#http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226704/index.m3u8?icpid=88888888&servicetype=3&playseek=#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226704/index.m3u8?icpid=88888888&servicetype=2&npt=
包公误,video://https://www.bilibili.com/video/BV14d4y1i7Ct/?spm_id_from=333.337.search-card.all.click&vd_source=455059d68af86e691d3eff0d87e718cd
穆桂英挂帅,video://https://www.bilibili.com/video/BV13T4y1N7Pg/?spm_id_from=333.337.search-card.all.click&vd_source=455059d68af86e691d3eff0d87e718cd
打花抢,video://https://www.bilibili.com/video/BV124411J7Gc/?spm_id_from=333.337.search-card.all.click
七奶奶,video://https://www.bilibili.com/video/BV1T94y1o7ua/
杨八姐游春,video://https://www.bilibili.com/video/BV1tb4y1B7ry/?spm_id_from=333.337.search-card.all.click
小包公,video://https://www.bilibili.com/video/BV1X3411n7R4/?spm_id_from=333.337.search-card.all.click&vd_source=455059d68af86e691d3eff0d87e718cd
白奶奶醉酒,video://https://www.bilibili.com/video/BV1Fa411B7ti/?spm_id_from=333.337.search-card.all.click
樊梨花,video://https://www.bilibili.com/video/BV124411J7Gc?p=6
刘墉铡西宫,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=155
花打朝,video://https://www.bilibili.com/video/BV17z411z7HL?p=3&vd_source=455059d68af86e691d3eff0d87e718cd
程咬金照镜子,video://https://www.bilibili.com/video/BV1U64y1C7db/?spm_id_from=333.337.search-card.all.click
包青天,video://https://www.bilibili.com/video/BV1Mw411K7zR/?spm_id_from=333.788.recommend_more_video.17
打金枝,video://https://www.bilibili.com/video/BV1NT41147mi/?spm_id_from=333.788.recommend_more_video.12
十五贯,video://https://www.bilibili.com/video/BV1BK41157ij?p=4&vd_source=455059d68af86e691d3eff0d87e718cd
荆钗记,video://https://www.bilibili.com/video/BV1Sx411H7qf?p=5&vd_source=455059d68af86e691d3eff0d87e718cd
大祭桩,video://https://www.bilibili.com/video/BV1KT411t78n/?spm_id_from=333.337.search-card.all.click&vd_source=455059d68af86e691d3eff0d87e718cd
下陈州,video://https://www.bilibili.com/video/BV1GD4y127ze/?spm_id_from=333.337.search-card.all.click
秦雪梅,video://https://www.bilibili.com/video/BV19G4y1M7Bc/?spm_id_from=333.788.recommend_more_video.3
陈三两,video://https://www.bilibili.com/video/BV1RZ4y1y713/?spm_id_from=333.788.recommend_more_video.11
秦香莲后传,video://https://www.bilibili.com/video/BV1h44y1V7ab/?spm_id_from=333.788.recommend_more_video.17
布衣巡抚魏允贞,video://https://www.bilibili.com/video/BV1ct411974M/?spm_id_from=333.337.search-card.all.click&vd_source=455059d68af86e691d3eff0d87e718cd
桃花庵,video://https://www.bilibili.com/video/BV1Zk4y1s7n4/?spm_id_from=333.337.search-card.all.click&vd_source=455059d68af86e691d3eff0d87e718cd
罗成算卦,video://https://www.bilibili.com/video/BV1Sx411H7qf?p=35&vd_source=455059d68af86e691d3eff0d87e718cd
曲剧《包公赔情》,video://https://www.bilibili.com/video/BV1Sx411H7qf?p=43&vd_source=455059d68af86e691d3eff0d87e718cd
洛阳桥,video://https://www.bilibili.com/video/BV124411J7Gc?p=3
五世请缨,video://https://www.bilibili.com/video/BV124411J7Gc?p=4
花木兰,video://https://www.bilibili.com/video/BV124411J7Gc?p=7
朝阳沟,video://https://www.bilibili.com/video/BV124411J7Gc?p=10
巧配鸳鸯,video://https://www.bilibili.com/video/BV124411J7Gc?p=12
武当仙袍,video://https://www.bilibili.com/video/BV124411J7Gc?p=15
铡刀下的红梅,video://https://www.bilibili.com/video/BV124411J7Gc?p=16
程婴救孤,video://https://www.bilibili.com/video/BV124411J7Gc?p=18
寻儿记,video://https://www.bilibili.com/video/BV1kA411x7tz/?spm_id_from=333.337.search-card.all.click
七品芝麻官,video://https://www.bilibili.com/video/BV1S8411W74Z/?spm_id_from=333.337.search-card.all.click
卷席筒,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/8bebd13583e341e1b9d9e1180d36aaaa/850.m3u8
卷席筒,video://https://www.bilibili.com/video/BV1F4411H7gV?p=8
卷席筒续集,video://https://www.bilibili.com/video/BV1F4411H7gV?p=9
风雪配,video://https://www.bilibili.com/video/BV1F4411H7gV?p=3
背靴访帅,video://https://www.bilibili.com/video/BV1F4411H7gV?p=1
包龙图坐监,video://https://www.bilibili.com/video/BV18y4y1p7Kg?p=1
布衣巡抚,video://https://www.bilibili.com/video/BV18y4y1p7Kg?p=2
包公求情,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=10
二进宫,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=11
关公,video://https://www.bilibili.com/video/BV1Bb411R7GQ?p=9&vd_source=455059d68af86e691d3eff0d87e718cd
武当仙袍,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=12
曲剧《丁郎认父》上,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=16
曲剧《丁郎认父》下,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=17
《宝莲灯》上,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=47
《宝莲灯》下,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=48
诸葛亮吊孝(上),video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=54
诸葛亮吊孝(下),video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=55
拷红(常香玉),video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=89
智收姜维,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=101
抬花轿【电影版】,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=119
《包公辞朝》,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=134
《忠烈千秋》,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=146
大破天门阵,video://https://www.bilibili.com/video/BV1j44y1W757?p=11&vd_source=455059d68af86e691d3eff0d87e718cd
断桥－常香玉,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=147
鸳鸯戏水,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=160
程婴救孤,video://https://www.bilibili.com/video/BV1Lq4y1R7cA?p=161
